customer_id,lifetime_revenue,lifetime_profit,num_orders,first_order_date,last_order_date,customer_lifetime_days,customer_name,city,region
C1,158876.8,23210.84,1,2023-12-31,2023-12-31,0,Aaina Balasubramanian,Hyderabad,South
C10,14384.0,2803.41,1,2023-10-15,2023-10-15,0,Aaina Ganguly,Bangalore,South
C100,77549.4,9064.67,1,2025-03-05,2025-03-05,0,Aaryahi Das,Goa,West
C1000,11985.2,2016.93,1,2024-03-17,2024-03-17,0,Dharmajan Kapadia,Lucknow,North
C1001,203579.4,22976.86,2,2025-05-29,2025-08-06,69,Dharmajan Lal,Pune,West
C1002,45081.45,2373.83,1,2024-08-01,2024-08-01,0,Dharmajan Lall,Kolkata,East
C1003,2715.75,232.76,1,2025-03-18,2025-03-18,0,Dharmajan Rajagopal,Hyderabad,South
C1004,214100.0,33790.22,1,2025-03-04,2025-03-04,0,Dharmajan Ranganathan,Hyderabad,South
C1005,87735.6,19597.07,1,2024-12-07,2024-12-07,0,Dharmajan Ratti,Surat,West
C1006,87190.2,19167.89,1,2024-06-20,2024-06-20,0,Dharmajan Sampath,Surat,West
C1007,294129.75,44408.76,1,2024-03-08,2024-03-08,0,Dharmajan Setty,Bhubaneswar,East
C1008,167524.0,24231.61,1,2023-11-08,2023-11-08,0,Dharmajan Solanki,Hyderabad,South
C1009,228886.4,22035.51,1,2025-02-24,2025-02-24,0,Dharmajan Sridhar,Delhi,North
C101,7530.15,1491.48,1,2023-10-06,2023-10-06,0,Aaryahi Ganesh,Kolkata,East
C1010,114937.0,20930.23,1,2024-12-03,2024-12-03,0,Dharmajan Swaminathan,Bhubaneswar,East
C1011,79804.8,17157.69,1,2024-10-30,2024-10-30,0,Dharmajan Varkey,Goa,West
C1012,24807.6,3715.82,1,2025-04-27,2025-04-27,0,Dharmajan Vora,Goa,West
C1013,147611.85,19762.84,1,2024-01-18,2024-01-18,0,Dhruv Arya,Hyderabad,South
C1014,71520.0,9228.81,1,2024-04-24,2024-04-24,0,Dhruv Aurora,Amritsar,North
C1015,1242.7,114.31,1,2023-10-29,2023-10-29,0,Dhruv Bahl,Lucknow,North
C1016,25947.2,4888.54,1,2025-01-21,2025-01-21,0,Dhruv Bali,Chennai,South
C1017,184247.7,45928.61,1,2025-02-02,2025-02-02,0,Dhruv Bhalla,Mumbai,West
C1018,59052.8,3756.64,1,2025-02-04,2025-02-04,0,Dhruv Bhattacharyya,Surat,West
C1019,61466.0,11022.91,1,2023-10-04,2023-10-04,0,Dhruv Chakrabarti,Surat,West
C102,15988.5,1038.21,1,2024-04-08,2024-04-08,0,Aaryahi Hegde,Ranchi,East
C1020,39654.4,3688.29,1,2024-07-23,2024-07-23,0,Dhruv Chakraborty,Bhubaneswar,East
C1021,43020.0,10232.69,1,2024-04-01,2024-04-01,0,Dhruv Deo,Patna,East
C1022,87478.0,18772.76,1,2024-11-06,2024-11-06,0,Dhruv Divan,Coimbatore,South
C1023,40736.95,3037.21,1,2024-06-14,2024-06-14,0,Dhruv Garg,Ranchi,East
C1024,136582.2,22714.09,1,2024-12-05,2024-12-05,0,Dhruv Guha,Chennai,South
C1025,175556.0,38290.82,1,2024-03-02,2024-03-02,0,Dhruv Iyengar,Thiruvananthapuram,South
C1026,7294.4,695.66,1,2024-07-05,2024-07-05,0,Dhruv Joshi,Surat,West
C1027,133798.5,25623.16,1,2024-12-10,2024-12-10,0,Dhruv Kata,Jaipur,North
C1028,158652.0,38519.18,1,2025-05-30,2025-05-30,0,Dhruv Kulkarni,Patna,East
C1029,189768.0,44301.36,1,2025-05-22,2025-05-22,0,Dhruv Lad,Pune,West
C103,98286.0,9884.97,1,2025-09-27,2025-09-27,0,Aaryahi Issac,Guwahati,East
