customer_id,customer_name,city,region
C2093,Kashvi Varty,Bangalore,South
C210,Advik Desai,Delhi,North
C3419,Rhea Kalla,Patna,East
C475,Anika Sen,Kolkata,East
C266,Akarsh Kaul,Pune,West
C4462,Vardaniya Jayaraman,Pune,West
C1159,Drishya Khare,Mumbai,West
C2635,Misha Dua,Lucknow,North
C596,Arhaan Vala,Jaipur,North
C2384,Lavanya Hayer,Goa,West
C1118,Divyansh Thaman,Lucknow,North
C2893,Nishith Kumar,Hyderabad,South
C469,Anika Khanna,Chandigarh,North
C327,Amani Acharya,Patna,East
C427,Anay Grewal,Jaipur,North
C4069,Stuvan Majumdar,Bhubaneswar,East
C3487,Ritvik Ramanathan,Hyderabad,South
C897,Darshit Sharma,Chennai,South
C3808,Sara Chanda,Patna,East
C1386,Gatik Ravi,Pune,West
C1946,Jivin Sunder,Ahmedabad,West
C2083,Kashvi Ratti,Lucknow,North
C4593,Vivaan Goyal,Surat,West
C2770,Nayantara Bhagat,Ranchi,East
C2344,Lakshay Ramakrishnan,Chandigarh,North
C985,Dhanush Vaidya,Chennai,South
C2243,Kimaya Rege,Lucknow,North
C481,Anika Wable,Bhubaneswar,East
C2098,Kavya Bhatnagar,Delhi,North
C199,Adira Seshadri,Chandigarh,North
C4789,Zaina Sidhu,Goa,West
C746,Bhamini Kuruvilla,Jaipur,North
C2114,Kavya Saran,Ahmedabad,West
C2545,Mannat Batta,Guwahati,East
C3945,Shayak Bala,Thiruvananthapuram,South
C1566,Hrishita Kumer,Thiruvananthapuram,South
C3150,Prisha Gaba,Surat,West
C586,Arhaan Gole,Lucknow,North
C3853,Shaan Bala,Ranchi,East
C4197,Taran Kala,Lucknow,North
C2913,Nitara Hayre,Guwahati,East
C2395,Lavanya Tata,Amritsar,North
C693,Badal Dada,Surat,West
C751,Bhamini Sane,Coimbatore,South
C1281,Eva Babu,Guwahati,East
C3135,Prerak Saha,Pune,West
C220,Advik Sule,Delhi,North
C1067,Divij Chawla,Surat,West
C2848,Nirvaan Ben,Delhi,North
C3983,Shlok Dayal,Ahmedabad,West
C4609,Vritika Cherian,Patna,East
C1258,Eshani Arya,Ranchi,East
C1216,Elakshi Bajwa,Goa,West
C1844,Jayant Kala,Pune,West
C799,Biju Mannan,Bhubaneswar,East
C320,Alisha Sampath,Jaipur,North
C3420,Rhea Krishnamurthy,Patna,East
C3736,Samarth Chatterjee,Patna,East
C2956,Ojas Konda,Pune,West
C1486,Heer Saran,Mumbai,West
C2499,Manikya Dar,Ahmedabad,West
C677,Azad Kunda,Chennai,South
C1144,Drishya Apte,Pune,West
C4010,Shray Arya,Pune,West
C3483,Ritvik Madan,Bangalore,South
C3188,Purab Batta,Chandigarh,North
C3197,Purab Krishna,Surat,West
C2512,Manikya Srinivasan,Goa,West
C3216,Raghav Gara,Bhubaneswar,East
C3233,Raghav Sabharwal,Ranchi,East
C4163,Tanya Vora,Bangalore,South
C2549,Mannat Dhaliwal,Ranchi,East
C1160,Drishya Korpal,Chandigarh,North
C4615,Vritika Gade,Pune,West
C2835,Neysa Ganguly,Amritsar,North
C166,Adah Kaul,Ahmedabad,West
C3890,Shalv Subramaniam,Lucknow,North
C836,Chirag Hans,Bangalore,South
C3599,Saanvi Deshmukh,Pune,West
C4628,Yakshit Bajwa,Surat,West
C1825,Jayan Lall,Coimbatore,South
C2068,Kashvi Bakshi,Hyderabad,South
C2711,Myra Goda,Ranchi,East
C1873,Jayesh Ramachandran,Goa,West
C1459,Hazel Reddy,Bhubaneswar,East
C3905,Shamik Keer,Guwahati,East
C3660,Saira Trivedi,Goa,West
C719,Baiju Dube,Lucknow,North
C1173,Ehsaan Butala,Thiruvananthapuram,South
C782,Bhavin Toor,Mumbai,West
C3565,Romil Sawhney,Guwahati,East
C2489,Mamooty Mannan,Chandigarh,North
C3406,Reyansh Saraf,Patna,East
C1871,Jayesh Madan,Hyderabad,South
C2181,Kiaan Ranganathan,Patna,East
C3528,Riya Varughese,Pune,West
C4711,Yasmin Warrior,Patna,East
C4560,Vihaan Bhalla,Mumbai,West
C1272,Eshani Sani,Thiruvananthapuram,South
C627,Arnav Badami,Lucknow,North
C4353,Umang Virk,Coimbatore,South
C1717,Ira Soni,Bhubaneswar,East
C634,Arnav Karpe,Ranchi,East
C1425,Hansh Kaul,Surat,West
C1211,Ela Srivastava,Lucknow,North
C1233,Elakshi Sachdev,Mumbai,West
C1249,Emir Ramanathan,Chennai,South
C3161,Prisha Shenoy,Coimbatore,South
C3037,Parinaaz Luthra,Jaipur,North
C49,Aarna Bandi,Goa,West
C3295,Rasha Bansal,Amritsar,North
C296,Alisha Amble,Chandigarh,North
C497,Aniruddh Ratti,Coimbatore,South
C1742,Ishita Bajwa,Bangalore,South
C1341,Farhan Sarkar,Chennai,South
C490,Aniruddh Kothari,Pune,West
C3723,Samar Kumar,Kolkata,East
C1729,Ishaan Golla,Ranchi,East
C505,Aniruddh Wagle,Surat,West
C2903,Nishith Tara,Coimbatore,South
C4629,Yakshit Bakshi,Thiruvananthapuram,South
C2741,Navya Amble,Hyderabad,South
C1482,Heer Lata,Delhi,North
C1968,Jiya Tandon,Jaipur,North
C1109,Divyansh Kale,Lucknow,North
C3363,Raunak Raj,Patna,East
C2579,Mehul Magar,Lucknow,North
C1389,Gatik Sharma,Ahmedabad,West
C933,Dhanuk Dhar,Jaipur,North
C2117,Kavya Varty,Bangalore,South
C1740,Ishaan Walia,Hyderabad,South
C3000,Oorja Sur,Patna,East
C1002,Dharmajan Lall,Kolkata,East
C3927,Shanaya Kala,Chandigarh,North
C3331,Rati Goel,Chennai,South
C1778,Ivan Sarna,Mumbai,West
C264,Akarsh Hayre,Kolkata,East
C1551,Hrishita Bajaj,Surat,West
C3142,Prerak Shere,Guwahati,East
C2063,Kartik Seth,Patna,East
C3507,Riya Brahmbhatt,Hyderabad,South
C4730,Yuvraj  Bhardwaj,Delhi,North
C3901,Shamik Buch,Patna,East
C1068,Divij Dara,Hyderabad,South
C1932,Jivin Hans,Bhubaneswar,East
C4422,Vaibhav Rattan,Chennai,South
C2777,Nayantara Kalita,Ahmedabad,West
C3869,Shaan Sehgal,Delhi,North
C1023,Dhruv Garg,Ranchi,East
C2106,Kavya Lanka,Surat,West
C1371,Fateh Tripathi,Jaipur,North
C2497,Manikya Bhattacharyya,Coimbatore,South
C4273,Tiya Mani,Jaipur,North
C4577,Vihaan Loyal,Goa,West
C3503,Ritvik Vyas,Jaipur,North
C1793,Ivana Hegde,Surat,West
C4467,Vardaniya Ramaswamy,Patna,East
C1196,Ela Chakraborty,Lucknow,North
C4140,Taimur Tara,Ranchi,East
C1559,Hrishita Chanda,Pune,West
C2713,Myra Handa,Pune,West
C523,Anvi Mammen,Patna,East
C3913,Shamik Walla,Patna,East
C1630,Inaaya  Tandon,Hyderabad,South
C3968,Shayak Sekhon,Amritsar,North
C2586,Mehul Wable,Surat,West
C3235,Raghav Samra,Pune,West
C2218,Kiara Saha,Goa,West
C4688,Yasmin Kamdar,Bangalore,South
C1633,Inaaya  Walla,Lucknow,North
C3653,Saira Kapoor,Guwahati,East
C4384,Uthkarsh Grewal,Delhi,North
C346,Amira Chakraborty,Hyderabad,South
C2735,Nakul Srivastava,Patna,East
C3612,Saanvi Vasa,Guwahati,East
C3468,Ritvik Agarwal,Jaipur,North
C4695,Yasmin Sachdeva,Jaipur,North
C3810,Sara Chaudry,Ahmedabad,West
C91,Aarush Vig,Kolkata,East
C1152,Drishya Dasgupta,Mumbai,West
C1831,Jayan Sidhu,Chennai,South
C1935,Jivin Kaul,Thiruvananthapuram,South
C13,Aaina Lalla,Ranchi,East
C126,Aayush Setty,Bhubaneswar,East
C1927,Jivin Cheema,Bangalore,South
C3494,Ritvik Shah,Lucknow,North
C3766,Samiha Halder,Hyderabad,South
C1253,Emir Subramaniam,Coimbatore,South
C2336,Lakshay Kari,Chandigarh,North
C2768,Navya Vora,Ranchi,East
C3126,Prerak Chakrabarti,Patna,East
C4504,Vedika Sane,Bhubaneswar,East
C2146,Khushi Chada,Thiruvananthapuram,South
C2578,Mehul Lala,Surat,West
C2320,Lagan Walla,Delhi,North
C2517,Manikya Wali,Ahmedabad,West
C1599,Hunar Sastry,Mumbai,West
C4234,Tarini Talwar,Ahmedabad,West
C1006,Dharmajan Sampath,Surat,West
C4653,Yakshit Tank,Delhi,North
C2886,Nishith Bora,Goa,West
C3527,Riya Thaker,Bhubaneswar,East
C714,Baiju Barman,Jaipur,North
C861,Damini Kohli,Surat,West
C1417,Hansh Bali,Guwahati,East
C4058,Stuvan Arora,Mumbai,West
C906,Devansh Bhatti,Mumbai,West
C905,Devansh Bains,Mumbai,West
C1037,Dhruv Srinivasan,Mumbai,West
